anon_app_id,n_countries_observed,ADII_mean,DGI_mean,PCLR_mean,AS_mean,categories,ad_supported,offersIAP,top_grossing,downloads_bucket
app_0001,26,645.7692307692307,0.9130494505494505,0.41987701782242914,0.5409872633344723,Medical,False,False,No,100K-1M
app_0002,1,1307.0,1.0,0.0214132762312633,,Health & Fitness,False,True,No,<1K
app_0003,26,3565.153846153846,0.9079787733633887,0.3403081633362962,0.5998848223719885,Health & Fitness,False,True,No,10M+
app_0004,26,374.7307692307692,0.8117216117216117,0.549260395524062,0.5005630701698092,Productivity,False,True,Yes,1M-10M
app_0005,25,261.84,0.8959999999999999,0.4389418431176124,0.4234182757749799,Lifestyle,False,True,No,10K-100K
app_0006,25,392.92,1.0,0.46591074992014847,0.48168830212805686,Health & Fitness,False,False,No,10K-100K
app_0007,26,575.1538461538462,0.7605311355311356,0.3229345405348353,0.4950655677770583,Health & Fitness,False,True,No,10K-100K
app_0008,26,1127.1153846153845,1.0,0.37587294447351194,0.3880668917091076,Health & Fitness,False,True,No,100K-1M
app_0009,26,1170.423076923077,1.0,0.33763268296854576,0.3833055873066913,Health & Fitness,False,True,No,100K-1M
app_0010,26,1726.3846153846155,1.0,0.343963157484352,0.4344413092866356,Health & Fitness,False,True,Yes,1M-10M
app_0011,26,1533.2692307692307,1.0,0.37187511018125896,0.4303146395671591,Health & Fitness,False,True,No,100K-1M
app_0012,26,589.8076923076923,1.0,0.4398471221709584,0.3698820141518936,Health & Fitness,False,True,No,100K-1M
app_0013,26,574.3461538461538,0.843894993894994,0.5513386512598113,0.31931481038480414,Education,True,True,Yes,10M+
app_0014,26,382.2307692307692,1.0,0.3634227477842952,0.3813470411023605,Health & Fitness,False,True,No,10K-100K
app_0015,26,573.8076923076923,0.8459249084249085,0.2962578340539407,0.3947470961387513,Health & Fitness,False,False,No,10K-100K
app_0016,26,497.61538461538464,0.718906093906094,0.41504891959583995,0.3138167931995385,Health & Fitness,False,False,No,100K-1M
app_0017,26,1354.0384615384614,0.94993894993895,0.4306943956923635,0.2543142687380736,Health & Fitness,False,True,No,100K-1M
app_0018,26,609.0769230769231,0.8086996336996337,0.2739831406943946,0.502555625472055,Lifestyle,False,True,No,10K-100K
app_0019,26,696.5,1.0,0.44419438127607713,0.237537805781496,Health & Fitness,False,True,No,10K-100K
app_0020,25,2138.92,0.9127380952380952,0.5161813212939091,0.404634920057408,Health & Fitness,True,True,No,10M+
app_0021,26,1152.8461538461538,0.9509204470742932,0.3909749651925352,0.43914306879124926,Health & Fitness,False,True,No,100K-1M
app_0022,26,464.0,0.8033424908424909,0.37634595977529284,0.5362510615864637,Health & Fitness,False,True,No,1K-10K
app_0023,26,919.3461538461538,0.8108974358974359,0.34956606823364533,0.2674916943232611,Medical,False,True,No,1K-10K
app_0024,26,2558.846153846154,0.9633030431107354,0.48642630778734985,0.5016399313747771,Health & Fitness,False,True,Yes,10M+
app_0025,26,635.2692307692307,1.0,0.44921858156637506,0.4265281546992462,Health & Fitness,False,True,No,10K-100K
app_0026,26,2405.153846153846,0.7855616605616605,0.193960283731524,0.5074818784704023,Productivity,False,False,Yes,1M-10M
app_0027,26,529.8076923076923,0.7811965811965812,0.35266934578356207,0.3870293422923891,Health & Fitness,False,True,No,100K-1M
app_0028,12,1106.8333333333333,0.8227272727272728,0.40309430629456794,0.4034759449953058,Health & Fitness,True,True,No,100K-1M
app_0029,26,970.8076923076923,0.9545787545787546,0.5515374435291908,0.2752726617918954,Health & Fitness,True,True,Yes,1M-10M
app_0030,26,312.88461538461536,0.7266483516483516,0.4467891557231517,0.4737197466359047,Health & Fitness,True,True,No,1K-10K
app_0031,26,1141.3461538461538,0.9606951871657755,0.634464367374851,0.1826430754683993,Health & Fitness,False,True,Yes,1M-10M
app_0032,26,2032.9615384615386,0.8675683291067907,0.40979780339331273,0.4953212311173341,Parenting,False,True,No,1M-10M
app_0033,26,472.88461538461536,1.0,0.25033587711084737,0.4168718643703911,Health & Fitness,False,True,No,1K-10K
app_0034,26,373.65384615384613,1.0,0.42899209857625437,0.5086943584340369,Health & Fitness,False,True,Yes,1M-10M
app_0035,26,3027.6153846153848,0.8485266869882254,0.2385132500052589,0.40148679429057677,Health & Fitness,False,True,No,10K-100K
app_0036,26,1522.1538461538462,0.7586080586080587,0.29584667811647614,0.3763386395079766,Health & Fitness,True,True,Yes,10M+
app_0037,26,363.96153846153845,1.0,0.30132762484916586,0.4537827658106552,Health & Fitness,False,True,No,10K-100K
app_0038,25,470.48,0.9242698412698412,0.28911304260987797,0.4084241165635383,Health & Fitness,False,True,No,10K-100K
app_0039,26,1197.0,0.809004884004884,0.36189430150073637,0.5984412606071158,Health & Fitness,False,False,No,10K-100K
app_0040,26,463.34615384615387,0.7967032967032968,0.2784623216969487,0.4156321902388387,Medical,False,False,No,100K-1M
app_0041,26,288.2307692307692,0.9016317016317016,0.4338391995275749,0.435444136552035,Education,False,False,No,10K-100K
app_0042,25,1046.48,1.0,0.5730188803423919,0.3234122988401277,Health & Fitness,False,True,No,100K-1M
app_0043,26,342.03846153846155,0.9021978021978021,0.33222291586855385,0.39847061769852626,Health & Fitness,True,True,No,100K-1M
app_0044,26,744.5769230769231,0.9326923076923077,0.5651363627078367,0.3082801591388967,Health & Fitness,True,False,No,10M+
app_0045,26,1008.2692307692307,0.720054945054945,0.5390165061706839,0.3782840740782306,Health & Fitness,True,True,No,10M+
app_0046,26,2101.730769230769,0.7886752136752138,0.44234744201750764,0.5584126536564233,Health & Fitness,True,True,Yes,10M+
app_0047,26,755.1923076923077,0.7306443556443557,0.32773023365192383,0.4306899532701482,Health & Fitness,False,True,Yes,1M-10M
app_0048,26,859.0384615384615,0.9543803418803419,0.5948844714780351,0.2921796097875507,Health & Fitness,True,False,No,10M+
app_0049,26,348.2307692307692,0.7333333333333333,0.4227039446212243,0.4783459403481475,Health & Fitness,False,False,Yes,1M-10M
app_0050,26,414.96153846153845,0.8106227106227106,0.6072443160289525,0.2308973074946838,Health & Fitness,False,False,Yes,1M-10M
app_0051,26,376.15384615384613,0.7182844932844932,0.4130660959783514,0.50173386344673,Lifestyle,False,False,No,1M-10M
app_0052,26,834.5769230769231,0.8838827838827839,0.34093844648769345,0.399499627046286,Health & Fitness,True,True,Yes,10M+
app_0053,26,293.15384615384613,1.0,0.36710086903561934,0.46556917221263344,Health & Fitness,False,True,No,10K-100K
app_0054,25,745.36,0.8988571428571429,0.359024096195375,0.4158975278551621,Health & Fitness,False,True,No,100K-1M
app_0055,26,437.03846153846155,0.9001373626373627,0.3273173289930998,0.3916774055503934,Health & Fitness,False,True,No,10K-100K
app_0056,26,707.3846153846154,0.97002997002997,0.24446971303708392,0.4343447577954351,Health & Fitness,False,True,No,10M+
app_0057,26,824.9615384615385,0.8756854256854256,0.48806764406972936,0.2670203705591801,Medical,False,False,No,100K-1M
app_0058,26,540.0,1.0,0.2925633674374328,0.4915510802828379,Health & Fitness,False,True,No,10K-100K
app_0059,26,616.5769230769231,0.8078296703296703,0.5086371231578891,0.3336655165779,Health & Fitness,False,True,Yes,1M-10M
app_0060,26,1238.6153846153845,0.920700666854513,0.28714226503170837,0.4780745778332423,Health & Fitness,False,True,No,1M-10M
app_0061,26,236.57692307692307,1.0,0.47748317823851616,0.4205086134527434,Medical,False,False,No,100K-1M
app_0062,26,1272.2307692307693,0.9692056309703367,0.49089774720526014,0.4317737009426525,Health & Fitness,False,True,No,100K-1M
app_0063,26,753.5769230769231,0.8961151593504535,0.35886364358112116,0.6176359775660349,Health & Fitness,False,True,No,100K-1M
app_0064,26,1150.9615384615386,0.7664751914751915,0.3959191337690617,0.4157955650534443,Health & Fitness,False,True,No,10K-100K
app_0065,26,1389.6923076923076,0.9961538461538461,0.4643946722146117,0.32875306252403547,Health & Fitness,False,True,No,10M+
app_0066,25,278.08,0.995,0.30445027857248097,0.37634065594477,Health & Fitness,False,False,No,100K-1M
app_0067,26,771.6923076923077,0.9280830280830281,0.47585805415237736,0.4710988244547419,Medical,False,False,No,100K-1M
app_0068,26,369.53846153846155,1.0,0.31925962744992553,0.43432020149551004,Health & Fitness,False,True,No,10K-100K
app_0069,26,1240.923076923077,1.0,0.46289390435726335,0.3471083555234422,Health & Fitness,False,True,No,100K-1M
app_0070,26,308.9230769230769,0.9307692307692308,0.42067917590706183,0.36621399409453,Medical,False,True,No,10M+
app_0071,26,414.3076923076923,0.7258241758241758,0.3212075760643328,0.4305629981415046,Medical,False,True,No,10K-100K
app_0072,17,979.6470588235294,1.0,0.274676540107087,0.508354960626531,Education,False,False,No,10K-100K
app_0073,26,246.34615384615384,1.0,0.30773246675075827,0.3260492830811784,Medical,False,True,No,100K-1M
app_0074,26,370.8076923076923,0.9386446886446886,0.5324469398087812,0.2924593236504259,Health & Fitness,True,True,Yes,1M-10M
app_0075,26,500.7692307692308,1.0,0.6337872147998229,0.3786758737390092,Medical,True,False,No,100K-1M
app_0076,25,352.8,0.759978354978355,0.2918885918733625,0.4741555456976903,Medical,False,True,No,1M-10M
app_0077,25,467.32,1.0,0.3650424565515997,0.4699923267318408,Health & Fitness,False,False,No,1M-10M
